チームコード	チーム名	順番	ライセンスNo.	選手名
WP001	にゃんずファミリー	1		山崎百梨奈
WP001	にゃんずファミリー	2	564	香川 楓
WP001	にゃんずファミリー	3		川口 美華
WP001	にゃんずファミリー	4	566	川村友美子
WP002	万華鏡	1		浦川 直美
WP002	万華鏡	2	471	久住 真弓
WP002	万華鏡	3		徳満 英美
WP002	万華鏡	4	473	桑原 澄江
WP003	ぱいせん	1	530	飯田 菜々
WP003	ぱいせん	2		伊藤 美鈴
WP003	ぱいせん	3		飯箸あゆみ
WP003	ぱいせん	4	523	内藤真裕実
WP004	みんなでMJ☆	1	569	前土佐 澪
WP004	みんなでMJ☆	2		上田 かよ
WP004	みんなでMJ☆	3		大下 由香
WP004	みんなでMJ☆	4	369	堂元 美佐
WP005	マーク&ルナ	1	488	渡辺けあき
WP005	マーク&ルナ	2		砂子田秋実
WP005	マーク&ルナ	3	444	鈴木 理沙
WP005	マーク&ルナ	4		黒田 志保
WP006	A＆K2＆I	1	469	安藤 瞳
WP006	A＆K2＆I	2		河村 明子
WP006	A＆K2＆I	3	437	鬼頭 徐美
WP006	A＆K2＆I	4		石原 智世
WP007	3M＆N	1		大林 真美
WP007	3M＆N	2	357	林 尚子
WP007	3M＆N	3		西村 美紀
WP007	3M＆N	4	341	吉野 操
WP008	HRYY	1		中野はるか
WP008	HRYY	2	396	村田 律子
WP008	HRYY	3		岡本由佳子
WP008	HRYY	4	247	浅田 裕子
WP009	ごーさんず☆	1	586	幸木百合菜
WP009	ごーさんず☆	2		宮﨑 萌歌
WP009	ごーさんず☆	3	584	原野 萌花
WP009	ごーさんず☆	4		澤田 枇奈
WP010	MNK JEWEL	1		砂川 舞佳
WP010	MNK JEWEL	2	475	舟本 舞
WP010	MNK JEWEL	3		高草木琴音
WP010	MNK JEWEL	4	614	川田 菜摘
WP011	TEAM QUEEN	1	525	宇山 侑花
WP011	TEAM QUEEN	2		水野 敦子
WP011	TEAM QUEEN	3		川添 安子
WP011	TEAM QUEEN	4	384	松永 裕美
WP012	湘南ゴージャスΩ無双	1		藤原 聖佳
WP012	湘南ゴージャスΩ無双	2	496	櫻井 麻美
