table_name,ordinal_position,column_name,data_type,is_nullable
amateur_bowlers,1,id,bigint,NO
amateur_bowlers,2,name,character varying,NO
amateur_bowlers,3,name_kana,character varying,YES
amateur_bowlers,4,gender,character varying,YES
amateur_bowlers,5,dominant_arm,character varying,YES
amateur_bowlers,6,affiliation_name,character varying,YES
amateur_bowlers,7,equipment_contract,character varying,YES
amateur_bowlers,8,note,text,YES
amateur_bowlers,9,is_active,boolean,NO
amateur_bowlers,10,created_at,timestamp without time zone,YES
amateur_bowlers,11,updated_at,timestamp without time zone,YES
amateur_bowlers,12,amateur_no,character varying,NO
annual_dues,1,id,bigint,NO
annual_dues,2,pro_bowler_id,bigint,NO
annual_dues,3,year,smallint,NO
annual_dues,4,paid_at,date,YES
annual_dues,5,note,character varying,YES
annual_dues,6,created_at,timestamp without time zone,YES
annual_dues,7,updated_at,timestamp without time zone,YES
annual_schedule_rows,1,id,bigint,NO
annual_schedule_rows,2,annual_schedule_id,bigint,NO
annual_schedule_rows,3,tournament_id,bigint,YES
annual_schedule_rows,4,month,smallint,NO
annual_schedule_rows,5,sort_order,smallint,NO
annual_schedule_rows,6,start_date,date,YES
annual_schedule_rows,7,end_date,date,YES
annual_schedule_rows,8,date_label,character varying,YES
annual_schedule_rows,9,title,text,YES
annual_schedule_rows,10,eligibility,character varying,YES
annual_schedule_rows,11,region,character varying,YES
annual_schedule_rows,12,venue,text,YES
annual_schedule_rows,13,point_mark,character varying,YES
annual_schedule_rows,14,average_mark,character varying,YES
annual_schedule_rows,15,prize_mark,character varying,YES
annual_schedule_rows,16,title_mark,character varying,YES
annual_schedule_rows,17,note,text,YES
annual_schedule_rows,18,row_type,character varying,NO
annual_schedule_rows,19,source_type,character varying,NO
annual_schedule_rows,20,created_at,timestamp without time zone,YES
annual_schedule_rows,21,updated_at,timestamp without time zone,YES
annual_schedules,1,id,bigint,NO
annual_schedules,2,year,smallint,NO
annual_schedules,3,title,character varying,NO
annual_schedules,4,source_updated_on,date,YES
annual_schedules,5,source_url,text,YES
annual_schedules,6,notice,text,YES
annual_schedules,7,status,character varying,NO
annual_schedules,8,published_at,timestamp without time zone,YES
annual_schedules,9,created_by_user_id,bigint,YES
annual_schedules,10,updated_by_user_id,bigint,YES
annual_schedules,11,created_at,timestamp without time zone,YES
annual_schedules,12,updated_at,timestamp without time zone,YES
approved_ball_pro_bowler,1,id,bigint,NO
approved_ball_pro_bowler,2,pro_bowler_license_no,character varying,NO
approved_ball_pro_bowler,3,approved_ball_id,bigint,NO
approved_ball_pro_bowler,4,year,integer,YES
approved_ball_pro_bowler,5,created_at,timestamp without time zone,YES
approved_ball_pro_bowler,6,updated_at,timestamp without time zone,YES
approved_ball_pro_bowler,7,pro_bowler_id,bigint,YES
approved_balls,1,id,bigint,NO
approved_balls,2,name,character varying,NO
approved_balls,3,name_kana,character varying,YES
approved_balls,4,manufacturer,character varying,NO
approved_balls,6,approved,boolean,NO
approved_balls,7,created_at,timestamp without time zone,YES
approved_balls,8,updated_at,timestamp without time zone,YES
approved_balls,9,release_date,date,YES
approved_balls,10,manufacturer_id,bigint,YES
approved_balls,11,brand,character varying,YES
approved_balls,12,sort_name,character varying,YES
approved_balls,13,source_key,character varying,YES
approved_balls,14,source_url,text,YES
approved_balls,15,source_image_url,text,YES
approved_balls,16,image_path,text,YES
approved_balls,17,image_sha256,character varying,YES
approved_balls,18,catalog_status,character varying,NO
approved_balls,19,source_payload,json,YES
approved_balls,20,source_fingerprint,character varying,YES
approved_balls,21,first_seen_at,timestamp without time zone,YES
approved_balls,22,last_seen_at,timestamp without time zone,YES
approved_balls,23,imported_at,timestamp without time zone,YES
approved_balls,24,image_imported_at,timestamp without time zone,YES
approved_balls,25,usbc_match_status,character varying,NO
approved_balls,26,usbc_match_method,character varying,YES
approved_balls,27,usbc_matched_brand,character varying,YES
approved_balls,28,usbc_matched_name,character varying,YES
approved_balls,29,usbc_match_candidates,json,YES
approved_balls,30,usbc_checked_at,timestamp without time zone,YES
area,1,id,bigint,NO
area,2,name,text,NO
area,3,update_date,timestamp without time zone,YES
area,4,created_by,character varying,YES
area,5,updated_by,character varying,YES
ball_annual_registration_histories,1,id,bigint,NO
ball_annual_registration_histories,2,registration_id,bigint,NO
ball_annual_registration_histories,3,action,character varying,NO
ball_annual_registration_histories,4,from_status,character varying,YES
ball_annual_registration_histories,5,to_status,character varying,YES
ball_annual_registration_histories,6,acted_by_user_id,bigint,YES
ball_annual_registration_histories,7,note,text,YES
ball_annual_registration_histories,8,payload,json,YES
ball_annual_registration_histories,9,created_at,timestamp without time zone,YES
ball_annual_registration_histories,10,updated_at,timestamp without time zone,YES
ball_annual_registration_items,1,id,bigint,NO
ball_annual_registration_items,2,registration_id,bigint,NO
ball_annual_registration_items,3,used_ball_id,bigint,NO
ball_annual_registration_items,4,created_at,timestamp without time zone,YES
ball_annual_registration_items,5,updated_at,timestamp without time zone,YES
ball_annual_registrations,1,id,bigint,NO
ball_annual_registrations,2,pro_bowler_id,bigint,NO
ball_annual_registrations,3,registration_year,smallint,NO
ball_annual_registrations,4,revision,integer,NO
ball_annual_registrations,5,status,character varying,NO
ball_annual_registrations,6,submitted_at,timestamp without time zone,YES
ball_annual_registrations,7,submitted_by_user_id,bigint,YES
ball_annual_registrations,8,approved_at,timestamp without time zone,YES
ball_annual_registrations,9,approved_by_user_id,bigint,YES
ball_annual_registrations,10,returned_at,timestamp without time zone,YES
ball_annual_registrations,11,returned_by_user_id,bigint,YES
ball_annual_registrations,12,return_reason,text,YES
ball_annual_registrations,13,created_at,timestamp without time zone,YES
ball_annual_registrations,14,updated_at,timestamp without time zone,YES
ball_catalog_import_failures,1,id,bigint,NO
ball_catalog_import_failures,2,import_run_id,bigint,NO
ball_catalog_import_failures,3,manufacturer_id,bigint,YES
ball_catalog_import_failures,4,phase,character varying,NO
ball_catalog_import_failures,5,page_url,text,YES
ball_catalog_import_failures,6,product_url,text,YES
ball_catalog_import_failures,7,image_url,text,YES
ball_catalog_import_failures,8,error_message,text,NO
ball_catalog_import_failures,9,attempt_count,smallint,NO
ball_catalog_import_failures,10,resolved_at,timestamp without time zone,YES
ball_catalog_import_failures,11,created_at,timestamp without time zone,YES
ball_catalog_import_failures,12,updated_at,timestamp without time zone,YES
ball_catalog_import_runs,1,id,bigint,NO
ball_catalog_import_runs,2,manufacturer_id,bigint,YES
ball_catalog_import_runs,3,mode,character varying,NO
ball_catalog_import_runs,4,status,character varying,NO
ball_catalog_import_runs,5,started_at,timestamp without time zone,NO
ball_catalog_import_runs,6,completed_at,timestamp without time zone,YES
ball_catalog_import_runs,7,page_count,integer,NO
ball_catalog_import_runs,8,item_count,integer,NO
ball_catalog_import_runs,9,created_count,integer,NO
ball_catalog_import_runs,10,updated_count,integer,NO
ball_catalog_import_runs,11,unchanged_count,integer,NO
ball_catalog_import_runs,12,image_downloaded_count,integer,NO
ball_catalog_import_runs,13,image_reused_count,integer,NO
ball_catalog_import_runs,14,image_failed_count,integer,NO
ball_catalog_import_runs,15,error_count,integer,NO
ball_catalog_import_runs,16,cursor_url,text,YES
ball_catalog_import_runs,17,report,json,YES
ball_catalog_import_runs,18,created_at,timestamp without time zone,YES
ball_catalog_import_runs,19,updated_at,timestamp without time zone,YES
ball_info,1,id,bigint,NO
ball_info,2,brand,character varying,YES
ball_info,3,model,character varying,YES
ball_info,4,update_date,timestamp without time zone,YES
ball_info,5,created_by,character varying,YES
ball_info,6,updated_by,character varying,YES
ball_manufacturers,1,id,bigint,NO
ball_manufacturers,2,name,character varying,NO
ball_manufacturers,3,slug,character varying,NO
ball_manufacturers,4,base_url,text,NO
ball_manufacturers,5,catalog_url,text,NO
ball_manufacturers,6,is_active,boolean,NO
ball_manufacturers,7,sort_order,smallint,NO
ball_manufacturers,8,created_at,timestamp without time zone,YES
ball_manufacturers,9,updated_at,timestamp without time zone,YES
cache,1,key,character varying,NO
cache,2,value,text,NO
cache,3,expiration,integer,NO
cache_locks,1,key,character varying,NO
cache_locks,2,owner,character varying,NO
cache_locks,3,expiration,integer,NO
calendar_days,1,date,date,NO
calendar_days,2,holiday_name,character varying,YES
calendar_days,3,is_holiday,boolean,NO
calendar_days,4,rokuyou,character varying,YES
calendar_days,5,created_at,timestamp without time zone,YES
calendar_days,6,updated_at,timestamp without time zone,YES
calendar_events,1,id,bigint,NO
calendar_events,2,title,character varying,NO
calendar_events,3,start_date,date,NO
calendar_events,4,end_date,date,NO
calendar_events,5,venue,character varying,YES
calendar_events,6,kind,character varying,NO
calendar_events,7,created_at,timestamp without time zone,YES
calendar_events,8,updated_at,timestamp without time zone,YES
distribution_patterns,1,id,bigint,NO
distribution_patterns,2,created_at,timestamp without time zone,YES
distribution_patterns,3,updated_at,timestamp without time zone,YES
distribution_patterns,4,name,character varying,NO
distribution_patterns,5,type,character varying,NO
districts,1,id,bigint,NO
districts,2,name,character varying,NO
districts,3,label,character varying,NO
districts,4,created_at,timestamp without time zone,YES
districts,5,updated_at,timestamp without time zone,YES
failed_jobs,1,id,bigint,NO
failed_jobs,2,uuid,character varying,NO
failed_jobs,3,connection,text,NO
failed_jobs,4,queue,text,NO
failed_jobs,5,payload,text,NO
failed_jobs,6,exception,text,NO
failed_jobs,7,failed_at,timestamp without time zone,NO
flash_news,1,id,bigint,NO
flash_news,2,title,character varying,NO
flash_news,3,url,character varying,NO
flash_news,4,created_at,timestamp without time zone,YES
flash_news,5,updated_at,timestamp without time zone,YES
game_scores,1,id,bigint,NO
game_scores,2,tournament_id,bigint,NO
game_scores,3,stage,character varying,NO
game_scores,4,license_number,character varying,YES
game_scores,5,name,character varying,YES
game_scores,6,entry_number,character varying,YES
game_scores,7,game_number,integer,NO
game_scores,8,score,integer,NO
game_scores,9,created_at,timestamp without time zone,YES
game_scores,10,updated_at,timestamp without time zone,YES
game_scores,11,shift,character varying,YES
game_scores,12,gender,character varying,YES
game_scores,13,pro_bowler_id,bigint,YES
game_scores,14,tournament_participant_id,bigint,YES
group_mail_recipients,1,id,bigint,NO
group_mail_recipients,2,mailout_id,bigint,NO
group_mail_recipients,3,pro_bowler_id,bigint,NO
group_mail_recipients,4,email,character varying,NO
group_mail_recipients,5,status,character varying,NO
group_mail_recipients,6,sent_at,timestamp without time zone,YES
group_mail_recipients,7,error_message,text,YES
group_mail_recipients,8,created_at,timestamp without time zone,YES
group_mail_recipients,9,updated_at,timestamp without time zone,YES
group_mailouts,1,id,bigint,NO
group_mailouts,2,group_id,bigint,NO
group_mailouts,3,sender_user_id,bigint,NO
group_mailouts,4,subject,character varying,NO
group_mailouts,5,body,text,NO
group_mailouts,6,from_address,character varying,YES
group_mailouts,7,from_name,character varying,YES
group_mailouts,8,status,character varying,NO
group_mailouts,9,sent_count,integer,NO
group_mailouts,10,fail_count,integer,NO
group_mailouts,11,created_at,timestamp without time zone,YES
group_mailouts,12,updated_at,timestamp without time zone,YES
group_members,1,id,bigint,NO
group_members,2,group_id,bigint,NO
group_members,3,pro_bowler_id,bigint,NO
group_members,4,source,character varying,NO
group_members,5,assigned_at,timestamp without time zone,YES
group_members,6,expires_at,date,YES
group_members,7,created_at,timestamp without time zone,YES
group_members,8,updated_at,timestamp without time zone,YES
groups,1,id,bigint,NO
groups,2,key,character varying,NO
groups,3,name,character varying,NO
groups,4,type,character varying,NO
groups,5,rule_json,json,YES
groups,6,retention,character varying,NO
groups,7,expires_at,date,YES
groups,8,show_on_mypage,boolean,NO
groups,9,created_at,timestamp without time zone,YES
groups,10,updated_at,timestamp without time zone,YES
groups,11,preset,character varying,YES
groups,12,action_mypage,boolean,NO
groups,13,action_email,boolean,NO
groups,14,action_postal,boolean,NO
hof_inductions,1,id,bigint,NO
hof_inductions,2,pro_id,bigint,NO
hof_inductions,3,year,smallint,NO
hof_inductions,4,citation,text,YES
hof_inductions,5,created_at,timestamp with time zone,YES
hof_inductions,6,updated_at,timestamp with time zone,YES
hof_photos,1,id,bigint,NO
hof_photos,2,hof_id,bigint,NO
hof_photos,3,url,text,NO
hof_photos,4,credit,character varying,YES
hof_photos,5,sort_order,integer,NO
hof_photos,6,created_at,timestamp with time zone,YES
hof_photos,7,updated_at,timestamp with time zone,YES
information_files,1,id,bigint,NO
information_files,2,information_id,bigint,NO
information_files,3,type,character varying,NO
information_files,4,title,character varying,YES
information_files,5,file_path,character varying,NO
information_files,6,visibility,character varying,NO
information_files,7,sort_order,integer,NO
information_files,8,created_at,timestamp without time zone,YES
information_files,9,updated_at,timestamp without time zone,YES
informations,1,id,bigint,NO
informations,2,title,character varying,NO
informations,3,body,text,NO
informations,4,is_public,boolean,NO
informations,5,starts_at,timestamp without time zone,YES
informations,6,ends_at,timestamp without time zone,YES
informations,7,audience,character varying,NO
informations,8,required_training_id,bigint,YES
informations,9,created_at,timestamp without time zone,YES
informations,10,updated_at,timestamp without time zone,YES
informations,11,category,character varying,NO
informations,12,published_at,timestamp without time zone,YES
instructor_registry,1,id,bigint,NO
instructor_registry,2,source_type,character varying,NO
instructor_registry,3,source_key,character varying,NO
instructor_registry,4,legacy_instructor_license_no,character varying,YES
instructor_registry,5,pro_bowler_id,bigint,YES
instructor_registry,6,license_no,character varying,YES
instructor_registry,7,cert_no,character varying,YES
instructor_registry,8,name,character varying,NO
instructor_registry,9,name_kana,character varying,YES
instructor_registry,10,sex,boolean,YES
instructor_registry,11,district_id,bigint,YES
instructor_registry,12,instructor_category,character varying,NO
instructor_registry,13,grade,character varying,YES
instructor_registry,14,coach_qualification,boolean,NO
instructor_registry,15,is_active,boolean,NO
instructor_registry,16,is_visible,boolean,NO
instructor_registry,17,last_synced_at,timestamp without time zone,YES
instructor_registry,18,notes,text,YES
instructor_registry,19,created_at,timestamp without time zone,YES
instructor_registry,20,updated_at,timestamp without time zone,YES
instructor_registry,21,source_registered_at,timestamp without time zone,YES
instructor_registry,22,is_current,boolean,NO
instructor_registry,23,superseded_at,timestamp without time zone,YES
instructor_registry,24,supersede_reason,character varying,YES
instructor_registry,25,renewal_year,smallint,YES
instructor_registry,26,renewal_due_on,date,YES
instructor_registry,27,renewal_status,character varying,YES
instructor_registry,28,renewed_at,date,YES
instructor_registry,29,renewal_note,text,YES
instructors,1,license_no,character varying,NO
instructors,2,pro_bowler_id,bigint,YES
instructors,3,name,character varying,NO
instructors,4,name_kana,character varying,YES
instructors,5,sex,boolean,NO
instructors,6,district_id,character varying,YES
instructors,7,instructor_type,character varying,NO
instructors,8,grade,character varying,YES
instructors,9,is_active,boolean,NO
instructors,10,is_visible,boolean,NO
instructors,11,coach_qualification,boolean,NO
instructors,12,created_at,timestamp without time zone,YES
instructors,13,updated_at,timestamp without time zone,YES
job_batches,1,id,character varying,NO
job_batches,2,name,character varying,NO
job_batches,3,total_jobs,integer,NO
job_batches,4,pending_jobs,integer,NO
job_batches,5,failed_jobs,integer,NO
job_batches,6,failed_job_ids,text,NO
job_batches,7,options,text,YES
job_batches,8,cancelled_at,integer,YES
job_batches,9,created_at,integer,NO
job_batches,10,finished_at,integer,YES
jobs,1,id,bigint,NO
jobs,2,queue,character varying,NO
jobs,3,payload,text,NO
jobs,4,attempts,smallint,NO
jobs,5,reserved_at,integer,YES
jobs,6,available_at,integer,NO
jobs,7,created_at,integer,NO
kaiin_status,1,id,bigint,NO
kaiin_status,2,name,character varying,NO
kaiin_status,3,reg_date,timestamp without time zone,YES
kaiin_status,4,del_flg,boolean,NO
kaiin_status,5,update_date,timestamp without time zone,YES
kaiin_status,6,created_by,character varying,YES
kaiin_status,7,updated_by,character varying,YES
kaiin_status,8,is_retired,boolean,NO
license,1,id,bigint,NO
license,2,name,text,NO
license,3,update_date,timestamp without time zone,YES
license,4,created_by,character varying,YES
license,5,updated_by,character varying,YES
